DocID,NetSales,OperatingIncome,TotalAssets,NetAssets,EquityToAssetRatio,NumberOfIssuedShares,NetIncome
S100MU8D,17827633000,1730699000,9275401000,4156383000,0.4425,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年７月１日～2021年９月30日（注）１36,48014,131,5248,671664,3118,671624,311（注）１．新株予約権の行使による増加であります。２．2021年10月１日から2021年10月31日までの間に、新株予約権の行使により、発行済株式総数が6,760株、資本金が2,011千円、資本準備金が2,011千円増加しております。 ",903777000
S100MU97,1471393000000,113094000000,4398062000000,1399442000000,0.318,0.0004,
S100MU9E,188068000000,9641000000,376877000000,138476000000,0.343,0.0480,5726000000
S100MU9Y,136885000000,12040000000,223549000000,111785000000,0.500,0.0524,
S100MUAZ,26457000000,2995000000,66789000000,34149000000,0.511,0.104,
S100MUBJ,90100000000,4729000000,302887000000,134856000000,0.440,0.0108,3580000000
S100MUBL,315346000000,-2041000000,643696000000,162972000000,0.253,0.0097,
S100MUBS,252479000000,12619000000,523664000000,252919000000,0.4603,0.0305,1616000000
S100MUCH,193304000,-510433000,8662144000,8413072000,0.962,69882158,-2082136000
S100MUCK,33894000000,20717000000,894770000000,305667000000,0.341,0.0664,8907000000
S100MUCX,213467000000,25357000000,215842000000,171002000000,0.792,0.0000,16103000000
S100MUDA,614988000,-502142000,6300574000,5700149000,0.904,0.0005,-365969000
S100MUGB,185462000000,-462000000,349335000000,53259000000,0.146,0.0000,-1963000000
S100MUGQ,511637000,96624000,1734333000,1117315000,0.644,13971200,75153000
S100MUI8,3362321000000,88904000000,7763726000000,2278547000000,0.293,0.0022,
S100MUIG,2332601000,-3142396000,6232069000,4995574000,0.706,35198331,-2694284000
S100MUIH,7230488000,254975000,15400234000,3881878000,0.251,－,100688000
S100MUJ9,668160000000,147429000000,1276796000000,898662000000,0.694,0.0057,112012000000
S100MUJF,29437000,-245986000,3550390000,3479539000,0.9794,11759400,-274037000
S100MUJS,414352000000,26915000000,1042443000000,533895000000,0.505,0.0439,14186000000
S100MUKY,2695199000000,158040000000,60174533000000,4325640000000,0.072,1198443000,91794000000
S100MUL7,21246000000,8945000000,72227000000,56841000000,0.787,0.0000,6367000000
S100MUMN,322194000000,98072000000,5995372000000,1958934000000,0.293,0.0414,50939000000
S100MUN2,614904000,-300877000,2106026000,701933000,0.333,－,
S100MUNH,7904784000,-3420965000,22642508000,18619658000,0.822,0.0001,-1290070000
S100MUO1,234262000000,12402000000,429184000000,314314000000,0.725,0.1194,8934000000
S100MUOG,49261000000,5705000000,54455000000,25455000000,0.465,0.0191,3711000000
S100MUOM,865121000,110391000,4829795000,2031225000,0.421,5123300,60968000
S100MUOP,57817000000,11140000000,180453000000,152621000000,0.844,0.0413,8073000000
S100MUPE,12806664000,1588895000,23157881000,11219699000,0.484,0.0931,1066608000
S100MUPR,129790000000,10968000000,331875000000,171439000000,0.5145,0.0079,7525000000
S100MUQ9,794000000,-362000000,47986000000,44436000000,0.926,0.000,
S100MUQF,75599000000,5921000000,273712000000,28833000000,0.105,0.0004,
S100MUQJ,140222000000,19126000000,375980000000,221200000000,0.587,0.0355,11442000000
S100MUR3,278724000,-155543000,3625057000,3161756000,0.468,0.0000,-108921000
S100MURS,220731000000,7832000000,300421000000,107026000000,0.345,0.0720,4711000000
S100MUS8,1084738000000,,13168070000000,,0.226,0.0635,
S100MUSW,36552000000,989000000,277064000000,156433000000,0.542,0.0001,324000000
S100MUT6,1024711000,210859000,2524773000,1901839000,0.753,5919900,144923000
S100MUT7,696037000000,24065000000,3078759000000,2316191000000,0.752,0.0402,
S100MUTQ,74179000000,-16618000000,1647273000000,447819000000,0.267,0.0050,-22437000000
S100MUU7,140355000000,,3323618000000,501244000000,0.1508,0.1568,
S100MUUC,1192921000,259499000,1744130000,1340766000,0.769,2285000,181230000
S100MUUR,66492000000,19905000000,101143000000,43258000000,0.427,0.0382,13943000000
S100MUVO,1528248000,221920000,3348411000,2359169000,0.704,0.0585,156382000
S100MUW3,265935000000,47588000000,1053792000000,332424000000,0.315,0.0241,
S100MUX7,33568000000,1794000000,57570000000,45043000000,0.782,0.1591,1479000000
S100MUYW,7074000000,1704000000,8791000000,6200000000,0.705,0.0000,1299000000
S100MV01,234362000000,6235000000,525447000000,148073000000,0.282,0.0046,
S100MV0O,418474000000,23204000000,1278190000000,398468000000,0.298,0.0000,16470000000
S100MV0W,400673000,-650900000,6104298000,5932089000,0.966,－,-693504000
S100MV1E,1841000000,71000000,6536000000,1883000000,0.288,0.0380,
S100MV1H,246823000000,22046000000,445201000000,218721000000,0.4874,0.0011,9991000000
S100MV2N,8971988000,-82757000,39638271000,13733037000,0.330,0.0109,-154620000
S100MV3F,67633000000,19055000000,112751000000,98780000000,0.809,0.2872,11523000000
S100MV3H,9883607000,1158296000,7107456000,4643980000,0.653,10570200,714039000
S100MV4B,792862000000,16795000000,2025037000000,1122229000000,0.471,0.0000,-1743000000
S100MV5H,157311000000,22518000000,978555000000,100632000000,0.049,0.0144,6741000000
S100MV5S,2860405000,313644000,5979007000,2511223000,0.420,"(4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(千円)資本金残高(千円)資本準備金増減額(千円)資本準備金残高(千円)2021年７月１日～2021年９月30日（注）１9,2002,636,4007,820303,0977,820203,0972021年８月13日（注）２1,0002,637,4002,267305,3642,267205,364 （注）１．新株予約権の行使による増加であります。　　　２．譲渡制限付株式報酬としての新株発行による増加であります。　　　 　 発行価格　　　　１株につき4,535円　 　　　 資本組入額　　　１株につき2,267.5円　　　　　出資の履行方法　金銭報酬債権の現物出資による 　　　　 割当先　　　　　当社取締役３名（社外取締役１名含む）、当社執行役員３名３．2021年９月３日開催の取締役会決議により、2021年10月１日付で普通株式１株につき２株の割合で株式分割を行っております。　　　　　これに伴い発行済株式総数は2,637,400株増加し、5,274,800株となっております。",244281000
S100MV6L,6101437000,39097000,11038863000,9544839000,0.864,49147700,-3261000
S100MV73,240787000000,17505000000,310509000000,129090000000,0.409,0.0283,38269000000
S100MV7F,465755000000,13875000000,353179000000,166890000000,0.425,0.0197,7644000000
S100MV7O,3832846000,998414000,19026491000,17405095000,0.910,125910400,701148000
S100MV8T,183499000000,16766000000,344621000000,239822000000,0.691,0.0000,10553000000
S100MV8X,6646117000,37160000,15034156000,4259117000,0.277,0.0251,13262000
S100MVB6,,-600770000,4130259000,3917582000,0.946,－,-698652000
S100MVBA,127029000000,27535000000,345222000000,179908000000,0.515,0.0093,18981000000
S100MVDQ,635977000000,-27353000000,2117038000000,716896000000,0.193,0.0237,-66307000000
S100MVE3,19533000000,4685000000,74181000000,62464000000,0.842,0.0027,3154000000
S100MVEW,2077544000,198286000,6903756000,4585525000,0.664,－,196324000
S100MVFJ,886199000000,77301000000,1623441000000,765985000000,0.472,0.0000,
S100MVFY,536979000000,17901000000,1510452000000,548275000000,0.363,0.0467,
S100MVGE,3588051000,223563000,5663277000,1214398000,0.213,0.0000,61899000
S100MVHQ,666630000,6785000,4085484000,2781618000,0.673,0.0000,-18554000
S100MVI4,21000000,-2926000000,24073000000,9487000000,0.394,0.0000,
S100MVIQ,1319340000,285711000,1791267000,960722000,0.5363,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年７月１日～2021年９月30日（注）7,2009,365,7441,170387,6711,170378,671（注）新株予約権の行使による増加であります。 ",189430000
S100MVJH,２  地域ごとの情報当社グループの本邦以外の外部顧客に対する取引及び当社グループの本邦以外に所在している有形固定資産については、重要性が乏しいことから、記載を省略しております。,11572000000,18510346000000,1163187000000,0.0625,1245616000,30093000000
S100MVJO,1252179000,82807000,1884098000,878519000,0.459,－,37936000
S100MVKS,1033936000,-40902000,3745326000,1705145000,0.455,2120580,-17639000
S100MVKU,1066959000000,171695000000,2582926000000,1825326000000,0.707,0.0277,
S100MVKW,1006138000,133174000,4004352000,523399000,0.131,3728566,106150000
S100MVKY,1454331000,181907000,931262000,519815000,0.558,288081,173208000
S100MVL8,6232804000,505406000,6136341000,2472006000,0.390,0.000,441137000
S100MVMX,648448000,163419000,3710613000,2607274000,0.703,6907220,104975000
S100MVNG,175133000000,12375000000,657234000000,472360000000,0.712,0.0288,12059000000
S100MVNS,933391000000,,42684437000000,2786054000000,0.064,0.0428,
S100MVQ4,1044621000000,74729000000,2070539000000,1046080000000,0.505,0.0279,
S100MVQA,5047375000,-160262000,10795516000,3169047000,0.279,0.0000,-116420000
S100MVTQ,2591702000,-772641000,4261280000,769145000,0.176,0.0204,-414180000
S100MVUI,269550000000,17464000000,415292000000,220725000000,0.527,0.0977,11022000000
S100MVUU,2571371000,467370000,2533156000,1305270000,0.515,0.0000,318174000
S100MVW0,1540332000,155713000,3906481000,2923096000,0.748,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年７月１日～2021年９月30日－5,305,000－557,651－457,651（注）2021年10月１日から2021年10月31日までの間に、新株予約権の行使により、発行済株式総数が45,000株、資本金及び資本準備金がそれぞれ6,862千円増加しております。 ",109089000
S100MVWK,316459000000,19671000000,294753000000,196354000000,0.666,0.0202,13478000000
S100MVXA,3839000000,274000000,9809000000,4393000000,0.447,0.025,155000000
S100MVXQ,10319038000,-753509000,14417947000,1780580000,0.112,0.0008,-793936000
S100MVYG,1347015000,332439000,1584900000,334192000,0.2109,5000000,215584000
S100MW01,(1) 経常収益当行グループは、本邦の外部顧客に対する経常収益に区分した金額が中間連結損益計算書の経常収益の90％を超えるため、記載を省略しております。,,213129122000000,11660199000000,0.0546,4500000000,144879000000
S100MW2A,6953581000,1411945000,21888137000,10701983000,0.489,0.0000,
S100MWCP,２  報告セグメントごとの利益又は損失の金額の算定方法報告されている事業セグメントの会計処理の方法は、「中間連結財務諸表作成のための基本となる重要な事項」における記載と同一であります。なお、市場部門で調達した資金を個人部門、法人部門で活用する場合、社内の一定のルールに基づいて算出した損益を、それぞれの部門の業績として振り分けております。当グループでは、資産を事業セグメント別に配分していないことから、セグメント資産の開示を省略しております。,19723000000,59142300000000,2363425000000,0.0357,2324118000,76977000000
S100MWEF,30548000000,8422000000,33037000000,20838000000,0.631,15541141,5449000000
S100MWGM,15646000000,20000000,177581000000,42646000000,0.239,22820530,222000000
S100MWNK,788767000000,158405000000,23740192000000,2947891000000,0.1225,593291000,163559000000
S100MWUS,1392617000000,64592000000,23704641000000,3678980000000,0.1539,710000000,116611000000
S100MX3A,(1) 経常収益当社グループは、本邦の外部顧客に対する経常収益に区分した金額が中間連結損益計算書の経常収益の90％を超えるため、記載を省略しております。,6543000000,17612201000000,953156000000,0.0541,1179055000,22559000000
S100MX4J,1125210000000,66245000000,12160483000000,1735982000000,0.1413,373330000,43927000000
S100MX4P,２．報告セグメントごとの実質業務粗利益及び実質業務純益の金額の算定方法報告セグメントの情報は内部管理報告を基礎とし、会計処理の方法は「中間連結財務諸表の作成のための基本となる重要な事項」における記載と概ね同一でありますが、社内管理の取扱いに則り処理をしております。実質業務純益は実質業務粗利益から総経費を控除した金額であります。実質業務粗利益及び総経費は、当社及び連結子会社の業務粗利益及び経費（除く臨時処理分）に持分法適用会社の損益（臨時要因を除いた持分割合考慮後の金額）等を反映した社内管理ベースの計数であります。　また、セグメント間の取引及びセグメント間に跨る収益については社内管理（市場実勢価格）基準により算定しております。なお、セグメント別資産情報として開示している固定資産は、有形固定資産及び無形固定資産の合計であり、三井住友信託銀行株式会社に係る固定資産を各セグメントに配賦しております。 ,28703000000,57095352000000,2707721000000,0.0467,375291000,106039000000
S100MXHE,22685086000,631316000,10092292000,3265725000,0.3236,1118957,570978000
S100MXTA,945588000000,100602000000,289744560000000,15624830000000,0.047,4500000000,236599000000
S100MXWH,(1）経常収益　当行グループは、本邦の外部顧客に対する経常収益に区分した金額が中間連結損益計算書の経常収益の90％を超えるため、記載を省略しております。,,15504916000000,965916000000,0.0622,840521000,27888000000
S100MXXD,(1）営業収益　本邦の外部顧客への営業収益が連結損益計算書の営業収益の90％を超えるため、記載を省略しております。,443777000,836268000,484956000,0.580,4572700,25695000
S100MXXW,1861917000000,149347000000,670111000000,731770000000,0.527,106073656,64264000000
S100MXYN,4765223000,879716000,7937933000,5374538000,0.677,22052426,282908000
S100MXYS,391637000000,39760000000,16117463000000,1231680000000,0.076,655000000,36240000000
S100MY24,２．報告セグメント毎の連結粗利益（収益）、利益又は損失、資産、負債の金額の算定方法報告セグメントの会計処理の方法は、「中間連結財務諸表作成のための基本となる重要な事項」における記載と概ね同一であります。なお、各報告セグメント間の資金運用・調達取引にかかる損益については、通貨別・期間別に平均調達レートをベースにして定めた本支店レートや、調達活動にかかる経費配賦比率をベースに算定しております。また、ビジネス活動に直接関係しない本社経費は各報告セグメントへ配賦せず、報告セグメント対象外の損益としております。また、固定資産については、報告セグメントに配分しておりませんが、関連する費用については該当するセグメントに配分しております。 (報告セグメントの連結粗利益（収益）、利益又は損失の金額の算定方法の変更に関する事項)当行の置かれている環境や調達構造の変化を受け、当中間連結会計期間より、各報告セグメント間の損益の算定方法を変更しております。具体的には、各報告セグメント間の調達取引にかかる損益について、調達活動にかかる対価等をベースに当行で定めた収益配賦比率により算定する方法から、調達活動にかかる経費を当行で定めた経費配賦比率により算定する方法に変更しております。また、ビジネス活動に直接関係しない本社経費は各報告セグメントへ配賦せず、報告セグメント対象外の損益としております。なお、前中間連結会計期間のセグメント情報は、変更後の算定方法に基づき作成しております。,,5392516000000,476071000000,0.088,118289000,20249000000
S100MY9X,　　　(1）営業収益　　　　　当社はネットワーク上のプラットフォームを通じて顧客へ役務提供を行っており、個別の役務の提供を受ける者の把握が困難であるため、記載を省略しております。,-80864000,365596000,78119000,0.214,13083,-785656000
S100MYAE,(1) 経常収益当社グループは、本邦の外部顧客に対する経常収益に区分した金額が中間連結損益計算書の経常収益の90％を超えるため、記載を省略しております。 ,10364000000,24616009000000,959377000000,0.0389,191138000,135270000000
S100MYBV,２  報告セグメントごとの粗利益及び営業純益の金額の算定方法報告されている事業セグメントの会計処理の方法は、連結の範囲を除き、「中間連結財務諸表作成のための基本となる重要な事項」における記載と概ね同一であります。連結の範囲は主要な子会社を対象としており、計数は原則として内部取引消去等連結調整前の社内管理計数となっております。複数セグメントに跨る収益・費用の計上方法は、原則として市場実勢価格を基とする社内管理会計基準により算定しております。 （報告セグメントの利益又は損失の算定方法の変更）当中間連結会計期間より、事業本部間の粗利益・経費の配賦方法を変更しており、報告セグメントの利益の算定方法を変更しております。なお、前中間連結会計期間のセグメント情報は、変更後の算定方法に基づき作成しております。また、「（表示方法の変更）」に記載のとおり、従来営業経費として計上していたクレジットカード関連費用等を役務取引等費用として組替えており、前中間連結会計期間のセグメント情報については組替後の数値を記載しております。 ,199142000000,314449516000000,17858936000000,0.0533,13667770520,606964000000
S100MYFI,178933000000,872000000,214705000000,157018000000,0.713,28078000,25831000000
S100MYJR,２  報告セグメントごとの利益又は損失の金額の算定方法報告されている事業セグメントの会計処理方法は、「中間連結財務諸表作成のための基本となる重要な事項」における記載と概ね同一でありますが、複数の事業部門の協働により取引を獲得した際には、社内管理会計の取扱いに則り、実際の収益額に基づき算定した金額を協働した事業部門に計上しております。なお、資産につきましては、事業セグメント別の管理を行っておりません。 ,70024000000,209446667000000,11213825000000,0.0520,1373171556,431955000000
S100MYLT,－,127876000,－,－,－,121835,－
S100MYMI,1294833000,210046000,707373000,345659000,0.488,200000,84703000
S100MYNI,8174062000,2353376000,5330786000,2117752000,0.361,14490000,208692000
S100MYO7,114291000000,10883000000,125918000000,12152000000,0.096,60057011,427000000
S100MYQB, ２．報告セグメントごとの業務粗利益（信託勘定償却前）＋ＥＴＦ関係損益等、業務純益（信託勘定償却前、一般貸倒　引当金繰入前）＋ＥＴＦ関係損益等及び固定資産の金額の算定方法　以下の報告セグメントの情報は内部管理報告を基礎としております。業務粗利益（信託勘定償却前）＋ＥＴＦ関係損益等は、資金利益、信託報酬、役務取引等利益、特定取引利益及びその他業務利益の合計にＥＴＦ関係損益等を加えたものであります。業務純益（信託勘定償却前、一般貸倒引当金繰入前）＋ＥＴＦ関係損益等は、業務粗利益（信託勘定償却前）＋ＥＴＦ関係損益等から経費（除く臨時処理分等）、持分法による投資損益及びのれん等償却（無形資産の償却を含む）を調整したものであります。セグメント間の取引に係る業務粗利益（信託勘定償却前）＋ＥＴＦ関係損益等は、市場実勢価格に基づいております。また、セグメント別資産情報として開示している固定資産は、有形固定資産及び無形固定資産の合計であり、株式会社みずほ銀行、みずほ信託銀行株式会社及びみずほ証券株式会社に係る固定資産を各セグメントに配賦しております。,231200000000,204727684000000,8973937000000,0.0431,25392498000,287668000000
S100MYQQ,1143734000,136893000,622202000,275205000,0.442,56853,-81384000
S100MYYS,1946138000,77747000,4839061000,2479524000,0.5039,0.00004,4714000
S100N0OD,371362000000,33880000000,164009000000,98785000000,0.481,126426600,4024000000
S100N0SL,9570000000,2536000000,36808000000,24317000000,0.661,"(4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（百万円）資本金残高（百万円）資本準備金増減額（百万円）資本準備金残高（百万円）2021年10月31日―35,858,000―6,063―10,402  ",1780000000
S100N14E,69501000000,1884000000,95451000000,46232000000,0.482,0.0738,1481000000
S100N14I,775698000,-232396000,8365898000,5944257000,0.675,0.0523,-64858000
S100N1AT,1768886000000,134820000000,2590368000000,1321023000000,0.4937,0.0134,88963000000
S100N1ER,,-268439000,10909970000,10739534000,0.970,57612300,-261525000
S100N1IS,472767000,-1176339000,3967998000,2135110000,0.433,0.0000,-1087927000
S100N1OD,2584234000,-56554000,6302620000,5588210000,0.887,17464000,-10459000
S100N1OU,371031000,-45480000,3178750000,1023522000,0.322,9821200,-53339000
S100N1SH,3934434000,424303000,8825176000,4564777000,0.517,0.0217,266799000
S100N1SZ,6655942000,294923000,9224733000,5074675000,0.550,0.0206,284951000
S100N1Z2,－,224488000,－,－,－,12030,－
S100N20J,3160516000,3265000,3454580000,2831865000,0.819,14290200,188382000
S100N29V,4038145000,1210656000,2449672000,1531268000,0.625,4500000,792001000
S100N2EE,2530646000,-58570000,9674704000,3029900000,0.301,0.0191,1069192000
S100N2GH,1479389000,345783000,3970013000,3312920000,0.834,9744700,236929000
S100N2GM,,-4188371000,13714818000,8494078000,0.606,0.0000,-4841623000
S100N2HA,8965566000,-227339000,9473052000,6957094000,0.734,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年８月１日～2021年10月31日-4,756,060-1,646,166-1,596,147",-146752000
S100N2I8,130495000000,21752000000,239331000000,187558000000,0.781,167529968,17777000000
S100N2N2,1704004000,-926122000,6265673000,5480081000,0.869,108318323,-2603685000
S100N2R4,1741107000000,112049000000,5610690000000,2077027000000,0.358,0.0018,156657000000
S100N2VD,2056383000,1349985000,5023668000,4410929000,0.878,10280000,642601000
S100N33H,－,-60232000,－,－,－,3396,－
S100N34M,21054421000,10388667000,84338633000,19675447000,0.233,37150500,2948230000
S100N395,304651000000,62129000000,256736000000,83379000000,0.323,57463600,24797000000
S100N3GR,1617103000,452875000,4160716000,2673625000,0.643,119839,90092000
S100N3XC,21071805000,1879317000,82799045000,25624662000,0.295,94623600,9580795000
S100N3ZX,1798023000,504545000,2007648000,115340000,0.057,200,-143920000
S100N43K,2925946000,-364235000,2774807000,1578028000,0.561,13553660,-354800000
S100N4D6,3915933000,295692000,12428832000,9902184000,0.797,7760300,162541000
S100N4FX,2225762000,538649000,1761770000,450604000,0.256,7644,172421000
S100N4IA,－,170616000,－,－,－,20000,－
S100N4IF,12019229000,211492000,9992157000,4314557000,0.408,13156400,842178000
S100N4KS,45325000000,1219000000,34026000000,16431000000,0.483,2800000,4306000000
S100N4MO,540146000000,118544000000,758874000000,626851000000,0.826,0.0117,76723000000
S100N4MP,8737611000,51779000,4211879000,2083724000,0.495,16166700,182915000
S100N4TI,156402000000,12061000000,125562000000,31853000000,0.250,27458920,-660000000
S100N537,－,331559000,－,－,－,61600,－
S100N56T,404453000000,31161000000,457634000000,380190000000,0.831,0.0044,21551000000
S100N5AG,453492000000,27998000000,531653000000,271141000000,0.468,0.0179,16587000000
S100N5CC,206452000000,5926000000,182336000000,55555000000,0.303,0.0007,3453000000
S100N5CH,1754467000,364793000,2152338000,1404734000,0.6527,5801500,660098000
S100N5EY,5636029000000,68111000000,11287906000000,1748599000000,0.087,0.0251,-62590000000
S100N5UY,150716000000,8481000000,179316000000,72533000000,0.404,0.0000,6435000000
S100N5Z4,82270000000,17176000000,475761000000,382189000000,0.776,0.0529,11226000000
S100N67P,74106000000,13154000000,358598000000,195813000000,0.538,0.0211,12248000000
S100N6MU,710408000000,32971000000,396938000000,173875000000,0.436,0.0001,21692000000
S100N6QV,3082000000,265000000,6477000000,2060000000,0.318,0.0380,
S100N6W4,100246000000,33067000000,298706000000,195825000000,0.655,128219000,22874000000
S100N6X5,551233000000,21150000000,265623000000,93503000000,0.352,0.0504,14426000000
S100N72F,98634000000,4237000000,103763000000,22243000000,0.214,0.0051,3147000000
S100N72G,434631000000,-10513000000,1214650000000,424191000000,0.332,0.0620,-24377000000
S100N76S,446284000000,25568000000,317391000000,197225000000,0.621,0.0239,17317000000
S100N79T,160430000000,14867000000,308747000000,271645000000,0.876,0.0000,10282000000
S100N7BV,279937000000,20041000000,454749000000,234494000000,0.516,0.0155,
S100N7JA,164906000000,10802000000,137757000000,45200000000,0.258,0.0430,4278000000
S100N7KA,50054000000,4091000000,137691000000,27639000000,0.201,"(4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(百万円)資本金残高(百万円)資本準備金増減額(百万円)資本準備金残高(百万円) 2021年９月１日～ 2021年11月30日-60,083,111-96-96  ",2374000000
S100N7M1,5961706000,-972554000,10795213000,609528000,0.049,0.0202,-1913446000
S100N7M9,77059000000,1450000000,103294000000,44935000000,0.435,0.0507,592000000
S100N7MB,3335939000000,285632000000,5984318000000,2782598000000,0.438,0.0020,130987000000
S100N7OQ,619797000000,113094000000,2539457000000,997071000000,0.393,0.0370,
S100N7PT,230699000000,-18483000000,1299272000000,364560000000,0.281,0.0230,
S100N7QF,132833000000,1108000000,102204000000,54105000000,0.529,0.0645,1228000000
S100N7UG,168671000000,9683000000,157194000000,92221000000,0.587,0.054,6731000000
S100N7UQ,2287895000,110445000,5991411000,1250071000,0.209,3781500,48892000
S100N7Z1,1390363000,20512000,1576951000,588388000,0.371," (4) 【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(千円)資本金残高(千円)資本準備金増減額(千円)資本準備金残高(千円)2021年９月１日～2021年11月30日（注）２2,8005,194,84063130,03063129,930 (注)１．2021年12月８日をもって１株を２株に株式分割し、これに伴い発行済株式総数が5,194,840株増加しており　　　　ます。　　２．新株予約権の行使による増加であります。 ",6869000
S100N81M,32232000000,-1919000000,117673000000,34781000000,0.279,0.0119,-2856000000
S100N83H,38190673000,7428198000,58861676000,33062882000,0.502,0.0203,5111967000
S100N83V,1253516000,409508000,5082658000,3251545000,0.640,－,290407000
S100N84E,82087000000,10039000000,112920000000,87713000000,0.777,0.0256,7308000000
S100N854,282082000000,8616000000,174846000000,47959000000,0.269,0.0606,5226000000
S100N85T,11823642000,464109000,17593632000,6655318000,0.3783,0.0150,217354000
S100N877,364175000000,18292000000,315325000000,157569000000,0.500,0.0100,13072000000
S100N87H,381969000,-95640000,12050482000,6134570000,0.509,0.0061,-44330000
S100N88D,10757851000,528935000,5791863000,2746704000,0.474,0.0189,321148000
S100N89Q,1145902000,315589000,5728431000,2042716000,0.354,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年9月1日（注）１－25,947,200△456,27010,000－4,955,0632021年９月１日～2021年11月30日（注）２3,20025,950,4009210,092924,955,155（注）１．2021年８月25日開催の第16期定時株主総会決議に基づき無償減資を行い、2021年９月１日を効力発生日として資本金456,270千円を減少させ、その他資本剰余金に振替えております。　　　２．新株予約権の行使による増加であります。",138692000
S100N8BK,,131578000,1693238000,943106000,0.557,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年９月１日～2021年10月31日（注）１　普通株式112,500普通株式8,963,75014,256410,641－347,6302021年11月１日（注）２　Ａ種種類株式75,000　Ｂ種種類株式13,817普通株式8,963,750　Ａ種種類株式75,000　Ｂ種種類株式13,8174,440,8504,851,4914,440,8504,788,4802021年11月１日（注）３－普通株式8,963,750　Ａ種種類株式75,000　Ｂ種種類株式13,817△4,440,850410,641△4,440,850347,6302021年11月１日～2021年11月30日（注）１、４　普通株式63,550普通株式9,027,300　Ａ種種類株式75,000　Ｂ種種類株式13,8179,432420,073－347,630（注）１．新株予約権の行使によるものであります。２．2021年10月20日開催の臨時株主総会にてＡ種種類株式、Ｂ種種類株式の発行が決議され、2022年11月１日に第三者割当の方法により発行されたことによるものであります。３．減資によるものであります。４．2021年12月１日から2021年12月31日までの間に、新株予約権の行使により、発行済株式総数が普通株式250株、資本金が37千円増加しております。 ",127947000
S100N8CL,,210264000,1856724000,1190218000,0.640,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2021年９月１日～2021年11月30日（注）14,8009,393,5006,660257,3986,660150,898（注）新株予約権の行使による増加であります。 ",136744000
S100N8CR,9421859000,548493000,30673621000,21054149000,0.678,0.0000,422564000
S100N8CX,3912686000,263518000,5489212000,4333576000,0.789,－,155731000
S100N8DE,2947651000,58868000,5667040000,2463474000,0.4189,0.00004,-58680000
S100N8EZ,798828000,69609000,1957476000,236887000,0.121,20474000,65379000
S100N8F1,2873252000,467268000,3684420000,2725504000,0.740,7790000,362525000
S100N8GJ,24534424000,5938671000,35758420000,30608023000,0.831,0.0737,98179000
S100N8HD,7277131000,710257000,7260543000,4657757000,0.641,11487360,540600000
S100N8HF,329926000,17053000,1555360000,931545000,0.599,6142600,4008000
S100N9BO,521995000000,24969000000,734108000000,357352000000,0.487,0.0042,
S100N9Q9,4015248000000,,63553904000000,4703226000000,0.074,0.0387,165210000000
S100N9TA,127609000000,36673000000,299478000000,236829000000,0.787,0.0001,25627000000
S100N9TD,49023270000,7184305000,56267875000,46887499000,0.824,0.1462,4676042000
S100N9YR,131014000000,7058000000,252094000000,122436000000,0.333,0.0004,2930000000
S100NA4G,64867000000,24382000000,137598000000,111748000000,0.812,0.2119,17523000000
S100NA6W,717948000000,33901000000,1103767000000,510174000000,0.4622,0.1337,
S100NAA3,883582000000,-7869000000,1238491000000,506671000000,0.4091,0.0008,
S100NAAI,232956000000,-14698000000,259852000000,78804000000,0.301,146722835,13439000000
S100NAB0,2044436000000,82375000000,3343873000000,1049448000000,0.314,0.0000,
S100NABH,566210000000,75902000000,916660000000,680792000000,0.743,0.0117,
S100NABV,125373000000,11955000000,83428000000,50715000000,0.598,0.0340,8705000000
S100NACZ,1030579000000,70619000000,1858592000000,780808000000,0.417,0.0602,55217000000
